"","w_x_hat","w_x_LB95","w_x_UB95","w_y_hat","w_y_LB95","w_y_UB95","sigma_2_0_x_hat","sigma_2_x_LB95","sigma_2_x_UB95","sigma_2_0_y_hat","sigma_2_y_LB95","sigma_2_y_UB95"
"1",0.684882980348603,0.642210884223159,0.727555076474047,0.643517077288654,0.595946672159674,0.691087482417634,2.5758513150059e-05,2.44208403977835e-05,2.72097409568358e-05,1.32603985059644e-05,1.25717689386284e-05,1.40074858447673e-05
"2",0.685099296624977,0.643933313432353,0.726265279817601,0.613392481396705,0.567700171845717,0.659084790947694,2.65106749328446e-05,2.51344441129541e-05,2.80036877350972e-05,1.40553789405478e-05,1.33257315161717e-05,1.48469416130149e-05
"3",0.643941448934556,0.605494554439067,0.682388343430046,0.53891878152675,0.492578646690708,0.585258916362792,2.54241397038937e-05,2.41001987929323e-05,2.68608054624183e-05,1.56010306944377e-05,1.47886200079763e-05,1.64826127993755e-05
"4",0.669674791037246,0.629052667918186,0.710296914156305,0.548035812314206,0.502682401155933,0.59338922347248,2.74138419529539e-05,2.59865510999092e-05,2.89626330090037e-05,1.5431424413068e-05,1.46279933962838e-05,1.63032486598877e-05
"5",0.659959605385013,0.620054433746919,0.699864777023107,0.590258751995429,0.546844305081422,0.633673198909437,2.66633435054852e-05,2.52766538908458e-05,2.81679362387726e-05,1.45083698563581e-05,1.37538281087704e-05,1.53270664257974e-05
"6",0.668738006441125,0.628102907071153,0.709373105811097,0.547643875305126,0.501422831521596,0.593864919088655,2.83033837342326e-05,2.68335525759697e-05,2.98979888755196e-05,1.53817719976127e-05,1.45829767735617e-05,1.62483769569283e-05
"7",0.694709216742563,0.653533384209272,0.735885049275854,0.547446813969916,0.50080331438872,0.594090313551113,2.97509506869215e-05,2.82053807858522e-05,3.14277760545392e-05,1.58140860299594e-05,1.49925400014633e-05,1.67054007613701e-05
"8",0.643037240692554,0.603400179788181,0.682674301596927,0.597421902625816,0.551172975056535,0.643670830195098,2.9232320241383e-05,2.77178399866436e-05,3.08750348587687e-05,1.59132791814932e-05,1.50888373681332e-05,1.68075282902236e-05
"9",0.657395761878912,0.61814884185617,0.696642681901655,0.532522341396743,0.489469890859384,0.575574791934102,2.89150143511326e-05,2.74186043617103e-05,3.05379790498116e-05,1.44424887703242e-05,1.36950610082077e-05,1.52531281547858e-05
"10",0.64503799278588,0.607378948752691,0.682697036819069,0.622185185713971,0.576622426106661,0.667747945321281,2.70893379554551e-05,2.56912087553726e-05,2.86053627195753e-05,1.45490021510782e-05,1.3798102119009e-05,1.53632209256582e-05
"11",0.68457762583456,0.643697165392984,0.725458086276135,0.648283863130237,0.603277654409938,0.693290071850536,2.92861744422716e-05,2.77762956976087e-05,3.09232227746729e-05,1.50788989997323e-05,1.43014909044042e-05,1.59217843178751e-05
"12",0.648755813813477,0.608490451683837,0.689021175943117,0.620919859318442,0.577085163257598,0.664754555379287,3.0495504667344e-05,2.89221445816213e-05,3.22014845936432e-05,1.53662685225e-05,1.45734738524814e-05,1.6225888519856e-05
"13",0.68561176085347,0.646155911607083,0.725067610099856,0.569327862725405,0.525946506619584,0.612709218831226,3.0390472924012e-05,2.88242246022724e-05,3.2088587118837e-05,1.6366167857964e-05,1.55226968463434e-05,1.72806525395281e-05
"14",0.679344830602036,0.640104469974939,0.718585191229134,0.579194412217914,0.534790531784488,0.62359829265134,3.09358571586219e-05,2.93383375349861e-05,3.26681647987283e-05,1.55895422577046e-05,1.4784502347141e-05,1.64625060492139e-05
"15",0.686112282565254,0.648339068539511,0.723885496590997,0.620814680536814,0.575808832596194,0.665820528477434,2.93799133662374e-05,2.78643833162048e-05,3.10231637607248e-05,1.55216313272619e-05,1.47209652936777e-05,1.63897729886639e-05
"16",0.670881345967598,0.631195443381783,0.710567248553413,0.563452280728707,0.518909615581277,0.607994945876136,3.14567810054379e-05,2.9835577854691e-05,3.32144767965629e-05,1.63080764700337e-05,1.54675993420254e-05,1.72193152063739e-05
"17",0.720580163626668,0.683539981017292,0.757620346236045,0.648378553058699,0.604245876336514,0.692511229780883,2.75425151810601e-05,2.61199699606368e-05,2.90851087529896e-05,1.48556554708018e-05,1.40883747214831e-05,1.56876869132976e-05
"18",0.650302382429805,0.612729330775938,0.687875434083673,0.594238659832846,0.54814490714573,0.640332412519962,2.81910316888662e-05,2.67352541391256e-05,2.97696380073109e-05,1.58786748609646e-05,1.50587042179124e-05,1.67678291402649e-05
"19",0.716421368294127,0.676210079857752,0.756632656730502,0.673722459425354,0.629938401257167,0.717506517593541,3.00213180435015e-05,2.84687805476145e-05,3.17050538998777e-05,1.51585363216169e-05,1.43746201728331e-05,1.60086979000627e-05
"20",0.669292712537382,0.629831667550347,0.708753757524418,0.605146585058187,0.56307940907634,0.647213761040034,3.10423651587775e-05,2.94329386733826e-05,3.27881728943907e-05,1.4712543668002e-05,1.39497552230592e-05,1.55399700710731e-05
"21",0.68346900103485,0.644523934721701,0.722414067347998,0.58362570239639,0.539042658094873,0.628208746697906,3.19465818056342e-05,3.02923817832783e-05,3.37407638075417e-05,1.49723894778582e-05,1.41971163309631e-05,1.58132679133089e-05
"22",0.644982828096461,0.608549958426331,0.681415697766591,0.685456490053599,0.642914105983232,0.727998874123966,2.9309291685519e-05,2.77938507056574e-05,3.09527710154076e-05,1.38374538941367e-05,1.31219864269211e-05,1.46133706135618e-05
