"input_x","density_x","input_x_simulated","density_x_simulated","input_y","density_y","input_y_simulated","density_y_simulated"
-0.0227299107729646,0.00263056193884873,-0.0195690776848965,0.00212698401343031,-0.0143209177017079,0.00503828217803033,-0.0108557975076978,0.00347476095022702
-0.0226314210900073,0.00415832100887134,-0.0194914823075685,0.00282930361005694,-0.0142579281031017,0.00862722326463063,-0.0108156067392784,0.00441165961545644
-0.0225329314070501,0.0064487689137279,-0.0194138869302404,0.00372160967935226,-0.0141949385044956,0.0142365240600507,-0.010775415970859,0.00559754157338581
-0.0224344417240928,0.00973079029714485,-0.0193362915529124,0.00484207983744639,-0.0141319489058894,0.0226543305479143,-0.0107352252024397,0.00704164567203205
-0.0223359520411356,0.0142934429512106,-0.0192586961755844,0.00623313111309693,-0.0140689593072832,0.0347847379990449,-0.0106950344340203,0.00878463949306907
-0.0222374623581783,0.0204483179524605,-0.0191811007982563,0.00794118919728902,-0.0140059697086771,0.0515689747810562,-0.0106548436656009,0.0108704181285819
-0.022138972675221,0.0285055730931069,-0.0191035054209283,0.010016325741574,-0.0139429801100709,0.0738595903399422,-0.0106146528971815,0.0133459165009906
-0.0220404829922638,0.0387410969984836,-0.0190259100436002,0.0125807990175386,-0.0138799905114647,0.102251974444192,-0.0105744621287621,0.0162732937706254
-0.0219419933093065,0.0513564362141859,-0.0189483146662722,0.0156723550255785,-0.0138170009128585,0.136889160037114,-0.0105342713603427,0.019820041359647
-0.0218435036263493,0.0664347039683055,-0.0188707192889442,0.0193212955232029,-0.0137540113142524,0.17726857262111,-0.0104940805919234,0.0239473730464713
-0.021745013943392,0.0838972523027161,-0.0187931239116161,0.0235791965351724,-0.0136910217156462,0.222095353925521,-0.010453889823504,0.0287098727767414
-0.0216465242604347,0.103467270821342,-0.0187155285342881,0.0284924356742482,-0.01362803211704,0.26906560922609,-0.0104136990550846,0.0341605503952779
-0.0215480345774775,0.124687071385539,-0.0186379331569601,0.034100044774495,-0.0135650425184338,0.314660897688746,-0.0103735082866652,0.040349840088441
-0.0214495448945202,0.146664332553592,-0.018560337779632,0.0404314581574249,-0.0135020529198277,0.355385769665854,-0.0103333175182458,0.0473245743768015
-0.021351055211563,0.168365161667172,-0.018482742402304,0.0475883034118158,-0.0134390633212215,0.387800654518323,-0.0102931267498265,0.0553103653191305
-0.0212525655286057,0.188776301560303,-0.018405147024976,0.0555360299336052,-0.0133760737226153,0.408986955759348,-0.0102529359814071,0.0641910651474468
-0.0211540758456484,0.206926668246469,-0.0183275516476479,0.0641808615358975,-0.0133130841240092,0.416964881569356,-0.0102127452129877,0.0739569771544256
-0.0210555861626912,0.222004487546068,-0.0182499562703199,0.0734668062432434,-0.013250094525403,0.410986597525277,-0.0101725544445683,0.084608475726339
-0.0209570964797339,0.233470328276141,-0.0181723608929918,0.0833153724308777,-0.0131871049267968,0.391650675840319,-0.0101323636761489,0.096132658417405
-0.0208586067967767,0.24115167987826,-0.0180947655156638,0.0936252708412776,-0.0131241153281906,0.360818457706136,-0.0100921729077295,0.108502396210773
-0.0207601171138194,0.245305922205922,-0.0180171701383358,0.104272615640639,-0.0130611257295845,0.321351404395877,-0.0100519821393102,0.121786322612703
-0.0206616274308621,0.246641215923329,-0.0179395747610077,0.115107747552774,-0.0129981361309783,0.276723054925872,-0.0100117913708908,0.135820089150103
-0.0205631377479049,0.246288816623902,-0.0178619793836797,0.12589580347412,-0.0129351465323721,0.230582804587864,-0.0099716006024714,0.150445797567605
-0.0204646480649476,0.245805746865111,-0.0177843840063517,0.136425723080911,-0.0128721569337659,0.186404168107649,-0.00993140983405201,0.165551806430782
-0.0203661583819904,0.247220321367659,-0.0177067886290236,0.14649777436255,-0.0128091673351598,0.147703903066722,-0.00989121906563263,0.181012648197287
-0.0202676686990331,0.252230637353928,-0.0176291932516956,0.155910831373698,-0.0127461777365536,0.116396280241111,-0.00985102829721325,0.19669037577814
-0.0201691790160758,0.262302854340067,-0.0175515978743675,0.164467702987296,-0.0126831881379474,0.094021304976032,-0.00981083752879386,0.21241830867125
-0.0200706893331186,0.278521817198671,-0.0174740024970395,0.171980610085871,-0.0126201985393413,0.0817824378257709,-0.00977064676037448,0.227961908738464
-0.0199721996501613,0.301464502577687,-0.0173964071197115,0.178181557905611,-0.0125572089407351,0.0807597013761526,-0.0097304559919551,0.2431543361455
-0.0198737099672041,0.331114218863458,-0.0173188117423834,0.182803157136325,-0.0124942193421289,0.0920760753146793,-0.00969026522353572,0.257840608143569
-0.0197752202842468,0.366822023997237,-0.0172412163650554,0.185909647683611,-0.0124312297435227,0.116967818408088,-0.00965007445511634,0.271875305559065
-0.0196767306012895,0.407318581460057,-0.0171636209877274,0.187445790411451,-0.0123682401449166,0.156729633115578,-0.00960988368669695,0.285126055940112
-0.0195782409183323,0.450776584877486,-0.0170860256103993,0.187395177686762,-0.0123052505463104,0.212530496561778,-0.00956969291827757,0.297419108591796
-0.019479751235375,0.494920985101902,-0.0170084302330713,0.185781295023624,-0.0122422609477042,0.285122889424722,-0.00952950214985819,0.308521330250552
-0.0193812615524178,0.537007423572536,-0.0169308348557432,0.182667776685108,-0.012179271349098,0.374493986454825,-0.0094893113814388,0.318569012830407
-0.0192827718694605,0.573762534920065,-0.0168532394784152,0.178104571791149,-0.0121162817504919,0.479528624557592,-0.00944912061301942,0.32757136481582
-0.0191842821865032,0.602913936687291,-0.0167756441010872,0.172163680212832,-0.0120532921518857,0.597911128567537,-0.00940892984460004,0.335574942597851
