"input_x","density_x","density_norm_x","density_laplace_x","density_ggd_x","input_y","density_y","density_norm_y","density_laplace_y","density_ggd_y"
-0.0268146829868963,0.00269760446241533,0.000712609691159399,0.182013507885497,0.0829328124704193,-0.0170057892405593,0.00927445790049624,4.32255137092841e-05,0.0738231721783656,0.176655420976889
-0.0267127648538751,0.00386763425459294,0.000776828823561904,0.186526376133761,0.0855988650323931,-0.0169398729225923,0.0156729830596897,4.8441845402673e-05,0.0761536999216617,0.180980452736481
-0.026610846720854,0.00545735949418644,0.000846560224268658,0.191151137065502,0.0883487432824163,-0.0168739566046254,0.0256396690465641,5.42639201877169e-05,0.0785578002222188,0.185413988484629
-0.0265089285878329,0.00758126652225632,0.000922251367825319,0.195890564963486,0.0911850151537531,-0.0168080402866584,0.0406050325824225,6.07591404288985e-05,0.0810377956961039,0.189958824846297
-0.0264070104548118,0.0103725617863475,0.00100438375008708,0.200747502896436,0.0941103248159275,-0.0167421239686914,0.0622861617594717,6.80020565470333e-05,0.0835960822821777,0.194617832727944
-0.0263050923217907,0.0139825816176774,0.00109347527667028,0.205724864424514,0.0971273948508084,-0.0166762076507245,0.0925964276121191,7.60750843903919e-05,0.086235131556825,0.19939395935798
-0.0262031741887695,0.0185790635239797,0.00119008280278322,0.210825635347098,0.100239028487667,-0.0166102913327575,0.133486515293102,8.50692900717077e-05,0.0889574931217602,0.204290230385408
-0.0261012560557484,0.0243430900403419,0.00129480483274927,0.216052875493893,0.103448111898692,-0.0165443750147906,0.186709155955952,9.5085248131698e-05,0.091765797067213,0.209309752038417
-0.0259993379227273,0.0316638753822598,0.0014082843878955,0.221409720560447,0.106757616556474,-0.0164784586968236,0.253518342319255,0.000106233979349147,0.0946627565128746,0.214455713344679
-0.0258974197897062,0.0406342844943486,0.00153121205184799,0.22689938398918,0.110170601655021,-0.0164125423788566,0.334330043428292,0.000118637975008172,0.09765117022906,0.21973138841523
-0.0257955016566851,0.0513827391428223,0.00166432920265157,0.232525158897049,0.113690216595874,-0.0163466260608897,0.428387657520639,0.00013243231495663,0.100733925340616,0.225140138793791
-0.0256935835236639,0.0640461031545337,0.00180843144151521,0.238290420051014,0.117319703540955,-0.0162807097429227,0.533488822897669,0.000147765887347419,0.103914000116192,0.23068541587353
-0.0255916653906428,0.07871806945527,0.00196437222837568,0.244198625892475,0.121062400033796,-0.0162147934249557,0.645837587157133,0.000164802718548402,0.107194466845562,0.236370763383257
-0.0254897472576217,0.0954366961177612,0.002133066734869,0.250253320611909,0.124921741690841,-0.0161488771069888,0.759589644692364,0.00018372342233864,0.110578494807783,0.242199819945149
-0.0253878291246006,0.114172825432697,0.00231549592570282,0.256458136274946,0.128901264964547,-0.0160829607890218,0.867061046680686,0.000204726778180232,0.114069353333054,0.248176321706147
-0.0252859109915794,0.134820075064134,0.00251271087983113,0.262816795001156,0.133004609980049,-0.0160170444710548,0.960971174001856,0.00022803144906835,0.117670414961241,0.254304105045259
-0.0251839928585583,0.157239043637201,0.00272583736324573,0.269333111196861,0.137235523447192,-0.0159511281530879,1.03449488190719,0.000253877850218589,0.121385158700101,0.260587109359038
-0.0250820747255372,0.181158968133193,0.00295608066561442,0.276010993843303,0.141597861649767,-0.0158852118351209,1.08203811774331,0.000282530180652637,0.125217173386377,0.267029379927604
-0.0249801565925161,0.20596607598671,0.00320473071341532,0.28285444884155,0.146095593513833,-0.0158192955171539,1.0999241394225,0.000314278630592176,0.129170161152996,0.273635070863648
-0.024878238459495,0.231172411188081,0.00347316747263634,0.289867581415536,0.150732803757039,-0.015753379199187,1.0868631045097,0.000349441778468711,0.133247941005719,0.280408448146933
-0.0247763203264738,0.256239560546657,0.00376286665452919,0.297054598574693,0.155513696120911,-0.01568746288122,1.04413627770713,0.000388369192305662,0.137454452512711,0.28735389274687
-0.0246744021934527,0.28060013124808,0.00407540573832698,0.304419811637627,0.160442596688094,-0.0156215465632531,0.975471354571338,0.000431444251230111,0.141793759610576,0.294475903835864
-0.0245724840604316,0.303681699496522,0.0044124703252509,0.311967638818379,0.165523957286589,-0.0155556302452861,0.886633502075435,0.000479087203927034,0.146270054530554,0.301779102096181
-0.0244705659274105,0.324932128079096,0.00477586083854516,0.319702607876802,0.170762358983084,-0.0154897139273191,0.784800249728583,0.000531758481960247,0.150887661848664,0.30926823312319
-0.0243686477943894,0.343845083294105,0.00516749958468675,0.327629358834661,0.176162515667473,-0.0154237976093522,0.677820321866709,0.000589962287053331,0.155651042663698,0.316948170927912
-0.0242667296613682,0.359651252417957,0.00558943819131718,0.335752646759062,0.181729277730749,-0.0153578812913852,0.574152430933533,0.000654250472652067,0.160564798907121,0.324823921541927
-0.0241648115283471,0.372139866590442,0.0060438654378357,0.34407734461491,0.18746763583848,-0.0152919649734182,0.481534969319912,0.00072522674137874,0.165633677789021,0.332900626727763
-0.024062893395326,0.38128538051077,0.00653311549497331,0.352608446188078,0.19338272480211,-0.0152260486554513,0.405270925513367,0.000803551181339564,0.170862576384422,0.341183567798004
-0.0239609752623049,0.387046037346491,0.00705967659003595,0.361351069081062,0.199479827550393,-0.0151601323374843,0.349393982658731,0.000889945165660467,0.176256546364374,0.349678169546449
-0.0238590571292838,0.389490868976224,0.00762620011485772,0.370310457782906,0.205764379203296,-0.0150942160195173,0.316614537750428,0.000985196641104784,0.181820798876407,0.35839000429479
-0.0237571389962626,0.38878908893327,0.00823551019384048,0.379491986815246,0.212241971250757,-0.0150282997015504,0.308460014332969,0.00109016583316947,0.187560709579051,0.367324796058347
