"apolar_wx_est","apolar_wx_lower_95","apolar_wx_upper_95","apolar_wy_est","apolar_wy_lower_95","apolar_wy_upper_95","polar_wx_est","polar_wx_lower_95","polar_wx_upper_95","polar_wy_est","polar_wy_lower_95","polar_wy_upper_95"
0.684882980348603,0.642210884223159,0.727555076474047,0.643517077288654,0.595946672159674,0.691087482417634,0.688639485524587,0.613234109658554,0.76404486139062,0.687252333452789,0.608456393395423,0.766048273510155
0.685099296624977,0.643933313432353,0.726265279817601,0.613392481396705,0.567700171845717,0.659084790947694,0.762710339572642,0.687415979202734,0.83800469994255,0.652825169191613,0.580207882333299,0.725442456049926
0.643941448934556,0.605494554439067,0.682388343430046,0.53891878152675,0.492578646690708,0.585258916362792,0.714704480458486,0.645445355593306,0.783963605323666,0.494132341509284,0.419926263910607,0.568338419107961
0.669674791037246,0.629052667918186,0.710296914156305,0.548035812314206,0.502682401155933,0.59338922347248,0.715897492178752,0.644335907391,0.787459076966503,0.606708901298339,0.533515655718738,0.679902146877941
0.659959605385013,0.620054433746919,0.699864777023107,0.590258751995429,0.546844305081422,0.633673198909437,0.684426000508476,0.616847500835916,0.752004500181035,0.558651027851373,0.490537935470638,0.626764120232108
0.668738006441125,0.628102907071153,0.709373105811097,0.547643875305126,0.501422831521596,0.593864919088655,0.666266176053656,0.592234312084562,0.74029804002275,0.561681402038392,0.486373648431724,0.63698915564506
0.694709216742563,0.653533384209272,0.735885049275854,0.547446813969916,0.50080331438872,0.594090313551113,0.675457685015159,0.601829364645803,0.749086005384515,0.502830095234254,0.429485656147068,0.576174534321439
0.643037240692554,0.603400179788181,0.682674301596927,0.597421902625816,0.551172975056535,0.643670830195098,0.656095335001181,0.581796123385842,0.730394546616521,0.587499262855865,0.51037324712606,0.664625278585669
0.657395761878912,0.61814884185617,0.696642681901655,0.532522341396743,0.489469890859384,0.575574791934102,0.711683952496248,0.637592281082874,0.785775623909621,0.582095883159805,0.512202993832167,0.651988772487443
0.64503799278588,0.607378948752691,0.682697036819069,0.622185185713971,0.576622426106661,0.667747945321281,0.741135165844102,0.668541218456716,0.813729113231489,0.661168146610291,0.583553726385795,0.738782566834787
0.68457762583456,0.643697165392984,0.725458086276135,0.648283863130237,0.603277654409938,0.693290071850536,0.726195305281888,0.651846131566405,0.80054447899737,0.723301333267845,0.649905582838868,0.796697083696822
0.648755813813477,0.608490451683837,0.689021175943117,0.620919859318442,0.577085163257598,0.664754555379287,0.671855432172365,0.597642119908545,0.746068744436185,0.670300039527448,0.598348174086445,0.74225190496845
0.68561176085347,0.646155911607083,0.725067610099856,0.569327862725405,0.525946506619584,0.612709218831226,0.774447074760234,0.700407954685534,0.848486194834934,0.604694899577612,0.535898715210709,0.673491083944516
0.679344830602036,0.640104469974939,0.718585191229134,0.579194412217914,0.534790531784488,0.62359829265134,0.755296741498625,0.681536682366497,0.829056800630752,0.700678947401182,0.629166629109303,0.772191265693061
0.686112282565254,0.648339068539511,0.723885496590997,0.620814680536814,0.575808832596194,0.665820528477434,0.691115398367403,0.620050993390432,0.762179803344375,0.694627976747403,0.623446487925524,0.765809465569283
0.670881345967598,0.631195443381783,0.710567248553413,0.563452280728707,0.518909615581277,0.607994945876136,0.68869462338419,0.615532690346497,0.761856556421882,0.588468955088293,0.517429259082547,0.659508651094039
0.720580163626668,0.683539981017292,0.757620346236045,0.648378553058699,0.604245876336514,0.692511229780883,0.759270367509728,0.686811347946997,0.831729387072459,0.673663470674885,0.60137522812868,0.74595171322109
0.650302382429805,0.612729330775938,0.687875434083673,0.594238659832846,0.54814490714573,0.640332412519962,0.645133226240626,0.573866452703635,0.716399999777616,0.533517851744779,0.459484290811524,0.607551412678035
0.716421368294127,0.676210079857752,0.756632656730502,0.673722459425354,0.629938401257167,0.717506517593541,0.761666994117075,0.685695430979306,0.837638557254844,0.646445008681073,0.573077176528307,0.719812840833839
0.669292712537382,0.629831667550347,0.708753757524418,0.605146585058187,0.56307940907634,0.647213761040034,0.703301188872582,0.632805832811896,0.773796544933267,0.588280907090769,0.519384254677834,0.657177559503705
0.68346900103485,0.644523934721701,0.722414067347998,0.58362570239639,0.539042658094873,0.628208746697906,0.753376843852436,0.680837761311066,0.825915926393805,0.632510312724915,0.55991940406336,0.705101221386469
0.644982828096461,0.608549958426331,0.681415697766591,0.685456490053599,0.642914105983232,0.727998874123966,0.692546097572729,0.625547392572347,0.759544802573111,0.786495117828554,0.716554929833269,0.856435305823838
