"vel_x","vel_y","vel_x_end","vel_y_end","pos_x","pos_y","theta","theta_0_pi","theta_end","theta_end_0_pi","apolar_mean_x","apolar_mean_y","polar_mean_x","polar_mean_y"
0.009803562,0.001112526,0.01049524,-0.000438344,2220.931,1811.465,0.112998399659146,0.112998399659146,-0.0417417214299054,3.09985093215989,0.005061452,-2.10006e-05,0.002777669375,-0.0002879235
-0.002501725,0.003763421,-0.003805922,0.00801352,612.171,1878.865,2.15746915442038,2.15746915442038,2.01419375362811,2.01419375362811,-0.00308451633333333,0.00495567133333333,-0.00225546925,0.00356654175
0.003522582,0.00614931,0.002226719,0.005159287,3035.912,1904.244,1.05058548082919,1.05058548082919,1.16335351025611,1.16335351025611,0.003522582,0.00614931,-0.0023221375,0.0002104215
-0.008967709,0.000625015,-0.01394866,0.00130503,2647.396,1883.408,3.07200900361646,3.07200900361646,3.04830469154351,3.04830469154351,-0.00427634975,0.000894396,-0.0029005676,-0.0001950044
-0.000258339,0.000725017,0.002546726,0.000552513,1753.032,1892.109,1.91309145692423,1.91309145692423,0.213639552962136,0.213639552962136,0.0002243805,0.00119273625,-0.000165479857142857,0.000422271857142857
0.003166741,0.002856733,0.002347555,0.002771731,1791.862,1875.687,0.733976887869599,0.733976887869599,0.868067748513996,0.868067748513996,0.00149482675,0.00094064675,-0.00115336014285714,-0.000422271714285714
-0.004320101,-0.002620894,-0.005106786,0.003260076,3198.212,1841.207,-2.59628006930096,0.545312584288832,2.57342874188483,2.57342874188483,-0.0023335544,-0.000215505,-0.0023335544,-0.000215505
-0.00358675,-0.004108429,-0.008196025,-0.005216788,327.889,1942.227,-2.28850509607048,0.853087557519311,-2.57476481266629,0.566827840923508,-0.0019825462,-0.0018583766,-0.0019825462,-0.0018583766
0.004154264,-0.001515869,0.001304197,0.000635848,695.286,1956.427,-0.349881949375712,2.79171070421408,0.453629887516748,0.453629887516748,0.004154264,-0.001515869,0.001600871,0.003943981
-0.008144357,-0.009291883,-0.0071535,-0.005881804,1545.45,1973.115,-2.29047656429696,0.851116089292836,-2.45344457464714,0.688148078942655,-0.0031322398,-0.0028458998,0.000869001,-0.00142753333333333
